X	Y	Z	Scalar_field	Scalar_field_2	Scalar_field_3	Scalar_field_4	Scalar_field_5	R	G	B
745470.32999992	5205942.35000610	1846.89001465	154.000000	452.000000	247.000000	1252.000000	2601.000000	26	36	18
745471.75000000	5205941.69000244	1845.33996582	658.000000	1383.000000	783.000000	3130.000000	5225.000000	102	135	107
745470.31999969	5205943.25000000	1846.43005371	261.000000	805.000000	342.000000	2016.000000	3840.000000	39	73	37
745470.69000053	5205942.05000305	1845.05004883	443.000000	1192.000000	678.000000	2724.000000	4537.000000	87	114	69
745470.26000023	5205943.21000671	1844.68005371	364.000000	847.000000	695.000000	2062.000000	3568.000000	90	78	55
745470.63999939	5205941.89999390	1844.32995605	450.000000	1045.000000	671.000000	2532.000000	4299.000000	86	99	70
745470.77000046	5205941.94999695	1845.09997559	580.000000	1452.000000	800.000000	3342.000000	5400.000000	104	142	93
745472.45000076	5205943.05000305	1844.09997559	425.000000	809.000000	731.000000	1822.000000	3126.000000	95	74	66
745471.30999947	5205943.55999756	1846.45996094	349.000000	830.000000	481.000000	2014.000000	3793.000000	59	76	53
745471.62000084	5205943.69000244	1845.43005371	318.000000	606.000000	550.000000	1462.000000	2635.000000	69	52	47
745471.96999931	5205943.46000671	1846.11999512	337.000000	1041.000000	439.000000	2585.000000	4815.000000	53	98	50
