X	Y	Z	Scalar_field	Scalar_field_2	Scalar_field_3	Scalar_field_4	Scalar_field_5	R	G	B
745527.63999939	5205917.98000336	1836.34997559	975.000000	1114.000000	1128.000000	1805.000000	2749.000000	151	106	162
745527.04999924	5205918.36000061	1836.56005859	1179.000000	1464.000000	1253.000000	2409.000000	4021.000000	169	143	198
745528.32999992	5205918.77999878	1834.06994629	1047.000000	1362.000000	1179.000000	2122.000000	4043.000000	159	132	175
745527.88999939	5205918.95999908	1834.36999512	322.000000	650.000000	437.000000	1334.000000	2533.000000	53	57	48
745526.89999962	5205918.33000183	1835.18994141	381.000000	937.000000	532.000000	2239.000000	4280.000000	66	87	58
745527.64999962	5205919.36000061	1832.10998535	338.000000	705.000000	375.000000	1372.000000	2682.000000	44	63	51
745526.62000084	5205918.72000122	1834.40002441	182.000000	506.000000	329.000000	1096.000000	2091.000000	37	42	23
745526.94000053	5205917.41999817	1830.50000000	549.000000	1382.000000	776.000000	3126.000000	5322.000000	101	135	88
745526.81999969	5205919.01999664	1835.35998535	869.000000	1257.000000	1079.000000	2197.000000	3520.000000	144	121	144
745527.34000015	5205918.98000336	1833.17004395	322.000000	557.000000	400.000000	948.000000	1969.000000	47	47	48
745528.36000061	5205916.98999786	1831.65002441	485.000000	731.000000	533.000000	1561.000000	2828.000000	66	65	76
745526.93000031	5205918.34999847	1835.41003418	581.000000	714.000000	742.000000	1219.000000	2075.000000	96	64	93
745527.75000000	5205918.63999939	1835.86999512	807.000000	1056.000000	916.000000	1709.000000	3009.000000	121	100	133
745528.59000015	5205918.22000122	1831.59997559	398.000000	963.000000	552.000000	1623.000000	3249.000000	69	90	61
745526.71999931	5205918.59999847	1833.90002441	486.000000	671.000000	523.000000	1156.000000	1931.000000	65	59	77
745527.29999924	5205918.80999756	1833.81005859	214.000000	375.000000	319.000000	755.000000	1735.000000	36	28	29
745528.04999924	5205918.41000366	1835.45996094	936.000000	1155.000000	992.000000	1861.000000	3117.000000	132	110	156
745527.19000053	5205917.34999847	1831.31005859	741.000000	908.000000	922.000000	1568.000000	2397.000000	122	84	121
745526.72999954	5205917.91000366	1833.50000000	1068.000000	1257.000000	1243.000000	1842.000000	2464.000000	168	121	179
745528.20999908	5205917.73999786	1832.21997070	556.000000	833.000000	679.000000	1464.000000	2542.000000	87	76	89
745527.62000084	5205917.58999634	1834.82995605	792.000000	1168.000000	939.000000	2285.000000	3735.000000	124	112	130
